Z	N	symbol	name	half-life (y)	spin	dipole moment (nuclear magnetons)	error (nuclear magnetons)	gyromagnetic ratio (MHz/T)	error (MHz/T)	natural abundance	error
17	37	Cl	Chlorine	-1	1.5	0.684	1e-05	3.4759025124743057	5.081728819406879e-05	24.24	0.1
18	39	Ar	Argon	269 	3.5	-1.59	0.015	-3.462835209795831	0.03266825669618708	-1	-1
19	39	K	Potassium	-1	1.5	0.39147	8e-06	1.9893443809332112	4.0653830555255036e-05	93.2581	0.0044
19	40	K	Potassium	1.25e9 	4	-1.29797	3e-05	-2.4734743333970806	5.716944921832739e-05	0.0117	0.0001
19	41	K	Potassium	-1	1.5	0.214872	5e-06	1.091921234883595	2.5408644097034397e-05	6.7302	0.0044
20	41	Ca	Calcium	1.0e5 	3.5	-1.59443	7e-05	-3.4724832349401047	0.00015245186458220637	-1	-1
20	43	Ca	Calcium	-1	3.5	-1.31733	6e-05	-2.8689916395725414	0.00013067302678474834	0.135	0.01
21	45	Sc	Scandium	-1	3.5	4.754	8e-05	10.353659488911559	0.00017423070237966446	100.0	100.0
22	47	Ti	Titanium	-1	2.5	-0.78814	0.00011	-2.403068251036403	0.00033539410208085406	7.44	0.02
22	49	Ti	Titanium	-1	3.5	-1.1037	0.00014	-2.403730327705445	0.00030490372916441275	5.41	0.02
23	50	V	Vanadium	1.4e17 	6	3.3442	0.0004	4.248579379465121	0.000508172881940688	0.25	0.004
23	51	V	Vanadium	-1	3.5	5.1464	0.0007	11.208261084083814	0.001524518645822064	99.75	0.004
24	53	Cr	Chromium	-1	1.5	-0.47431	7e-05	-2.4103147963328766	0.0003557210173584815	9.501	0.017
25	53	Mn	Manganese	3.7e6 	3.5	5.033	0.005	10.961289063460638	0.010889418898729028	-1	-1
25	55	Mn	Manganese	-1	2.5	3.4669	0.0006	10.570707386401027	0.0018294223749864764	100.0	100.0
26	57	Fe	Iron	-1	0.5	0.09064	7e-05	1.3818237005731187	0.0010671630520754445	2.119	0.01
27	59	Co	Cobalt	-1	3.5	4.615	0.025	10.050933643526891	0.05444709449364514	100.0	100.0
27	60	Co	Cobalt	5.271 	5	3.799	0.008	5.7916463354780205	0.012196149166576511	-1	-1
28	61	Ni	Nickel	-1	1.5	-0.74965	5e-05	-3.809518009468367	0.000254086440970344	1.1399	0.0013
28	63	Ni	Nickel	101 	0.5	0.496	0.005	7.561612483277437	0.0762259322911032	-1	-1
29	63	Cu	Copper	-1	1.5	2.2259	0.0004	11.311420179117773	0.002032691527762752	69.15	0.15
29	65	Cu	Copper	-1	1.5	2.3844	0.0004	12.116874196993763	0.002032691527762752	30.85	0.15
30	67	Zn	Zinc	-1	2.5	0.87485	0.00016	2.6674502745948656	0.00048784596666306057	4.04	0.16
31	69	Ga	Gallium	-1	1.5	2.01502	6e-05	10.23978520568125	0.00030490372916441275	60.108	0.009
31	71	Ga	Gallium	-1	1.5	2.56033	9e-05	13.010902748192017	0.00045735559374661915	39.892	0.009
32	73	Ge	Germanium	-1	4.5	-0.87824	5e-05	-1.4876591727852992	8.4695480323448e-05	7.75	0.12
